time.ofweek-gps[ms],pos.enu-e[m],pos.enu-n[m],pos.enu-u[m],pos.rmse-e[m],pos.rmse-n[m],pos.rmse-u[m],spd.horiz[m/s],spd.course[deg],ori.yaw[rad],ori.pitch[rad],ori.roll[rad],pos.flags2[-],pos.latitude[deg],pos.longitude[deg],pos.height[m],pos.svs-used[-],spd.vert[m/s],ori.flags[-],ori.svs-used[-],ori.mode[-],ori.range[m],ori.var-yaw[rad^2],ori.var-pitch[rad^2],ori.var-roll[rad^2],ori.var-range[m^2]
312158240,-1300.245,2396.307,3.374,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1038,7,49.2274361,16.5749842,328.540,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158260,-1300.245,2396.307,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1038,7,49.2274361,16.5749842,328.539,9,-0.003,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158280,-1300.246,2396.307,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1039,7,49.2274361,16.5749842,328.539,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158300,-1300.246,2396.308,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1040,7,49.2274361,16.5749842,328.539,9,-0.003,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158320,-1300.246,2396.308,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1040,7,49.2274361,16.5749842,328.539,9,-0.003,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158340,-1300.246,2396.308,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0183,0.1039,7,49.2274361,16.5749842,328.539,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158360,-1300.246,2396.308,3.373,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0182,0.1038,7,49.2274361,16.5749842,328.539,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158380,-1300.246,2396.308,3.372,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0182,0.1039,7,49.2274361,16.5749842,328.539,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158400,-1300.246,2396.308,3.372,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0182,0.1039,7,49.2274361,16.5749842,328.538,9,-0.003,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
312158420,-1300.246,2396.308,3.372,0.0163,0.0169,0.0181,0.003,0.0000,2.9425,-0.0182,0.1040,7,49.2274361,16.5749842,328.538,9,-0.002,14,9,3,0.000,0.00103,0.00001,0.00001,0.0000
